lastname,firstname,email,grade
Fitzsimmons,Ketti,Ketti.Fitzsimmons@email.com,62
Bury,Katharina,Katharina.Bury@email.com,76
Emmaline,Bettine,Bettine.Emmaline@email.com,90
Trinetta,Marline,Marline.Trinetta@email.com,93
Bow,Jaclyn,Jaclyn.Bow@email.com,80
Vittoria,Sarette,Sarette.Vittoria@email.com,51
Camden,Tybie,Tybie.Camden@email.com,89
Dex,Eve,Eve.Dex@email.com,50
Weide,Inga,Inga.Weide@email.com,69
Erlandson,Jacquetta,Jacquetta.Erlandson@email.com,85
Skell,Marcy,Marcy.Skell@email.com,61
Ammann,Sara-Ann,Sara-Ann.Ammann@email.com,94
Fabiola,Basia,Basia.Fabiola@email.com,54
Kesley,Dulce,Dulce.Kesley@email.com,96
Dowski,Max,Max.Dowski@email.com,84
Deegan,Cindelyn,Cindelyn.Deegan@email.com,65
Yusuk,Carolina,Carolina.Yusuk@email.com,54
Maurine,Bertine,Bertine.Maurine@email.com,51
Seagraves,Courtnay,Courtnay.Seagraves@email.com,60
Lunsford,Perry,Perry.Lunsford@email.com,97
Edvard,Ofilia,Ofilia.Edvard@email.com,50
Hermes,Ezmeralda,Ezmeralda.Hermes@email.com,70
Kimmie,Stephanie,Stephanie.Kimmie@email.com,75
Bettine,Bobinette,Bobinette.Bettine@email.com,73
Ahab,Angela,Angela.Ahab@email.com,83
Paine,Sonni,Sonni.Paine@email.com,65
Regan,Basia,Basia.Regan@email.com,100
Fitzsimmons,Lelah,Lelah.Fitzsimmons@email.com,80
Norvol,Stacey,Stacey.Norvol@email.com,90
Lea,Dominga,Dominga.Lea@email.com,94
Daveta,Noelle,Noelle.Daveta@email.com,52
Shuler,Moyna,Moyna.Shuler@email.com,98
Roarke,Mureil,Mureil.Roarke@email.com,87
Thar,Maridel,Maridel.Thar@email.com,65
Malvino,Barbi,Barbi.Malvino@email.com,92
Norrie,Kara-Lynn,Kara-Lynn.Norrie@email.com,95
Croix,Constance,Constance.Croix@email.com,53
Ruvolo,Helsa,Helsa.Ruvolo@email.com,92
Barney,Blake,Blake.Barney@email.com,63
Flita,Phedra,Phedra.Flita@email.com,95
Burkle,Louella,Louella.Burkle@email.com,89
Elisha,Tabbatha,Tabbatha.Elisha@email.com,82
Tippets,Rayna,Rayna.Tippets@email.com,66
Swigart,Raina,Raina.Swigart@email.com,69
Erlandson,Shell,Shell.Erlandson@email.com,96
Sallyann,Merry,Merry.Sallyann@email.com,69
Constancy,Lory,Lory.Constancy@email.com,88
Joachim,Joy,Joy.Joachim@email.com,60
Cosenza,Ninnetta,Ninnetta.Cosenza@email.com,76
Ovid,Violet,Violet.Ovid@email.com,53
Luhe,Joeann,Joeann.Luhe@email.com,86
Colbert,Tiffie,Tiffie.Colbert@email.com,70
Stilwell,Chastity,Chastity.Stilwell@email.com,85
Paton,Trudie,Trudie.Paton@email.com,92
Si,Hallie,Hallie.Si@email.com,87
LaRue,Dede,Dede.LaRue@email.com,52
Deny,Bernie,Bernie.Deny@email.com,58
Pacorro,Tabbatha,Tabbatha.Pacorro@email.com,58
Ashok,Minda,Minda.Ashok@email.com,72
Marden,Betta,Betta.Marden@email.com,60
Thilda,Nessie,Nessie.Thilda@email.com,65
Giff,Lucy,Lucy.Giff@email.com,89
Leary,Ursulina,Ursulina.Leary@email.com,76
Bultman,Deirdre,Deirdre.Bultman@email.com,86
Lail,Britte,Britte.Lail@email.com,59
Iphlgenia,Dennie,Dennie.Iphlgenia@email.com,82
Maryanne,Elka,Elka.Maryanne@email.com,82
Noelyn,Devina,Devina.Noelyn@email.com,58
Maxi,Aurore,Aurore.Maxi@email.com,75
Pascia,Constance,Constance.Pascia@email.com,61
Infield,Feliza,Feliza.Infield@email.com,54
Lubin,Jsandye,Jsandye.Lubin@email.com,56
Khorma,Elyssa,Elyssa.Khorma@email.com,51
Holbrook,Ofilia,Ofilia.Holbrook@email.com,89
Hylan,Kathi,Kathi.Hylan@email.com,77
Lucienne,Clary,Clary.Lucienne@email.com,81
Fadiman,Tressa,Tressa.Fadiman@email.com,52
Evangelia,Merci,Merci.Evangelia@email.com,65
Sprage,Ottilie,Ottilie.Sprage@email.com,68
Lorain,Berget,Berget.Lorain@email.com,66
Ruvolo,Dacia,Dacia.Ruvolo@email.com,95
Carlson,Gilda,Gilda.Carlson@email.com,59
Winthorpe,Renae,Renae.Winthorpe@email.com,61
Erskine,Michaelina,Michaelina.Erskine@email.com,66
Belldas,Alyda,Alyda.Belldas@email.com,51
Erskine,Isa,Isa.Erskine@email.com,70
Bluh,Rhea,Rhea.Bluh@email.com,62
Joachim,Olwen,Olwen.Joachim@email.com,100
Goddard,Bobbi,Bobbi.Goddard@email.com,78
Haymes,Amara,Amara.Haymes@email.com,53
Buckler,Marcelline,Marcelline.Buckler@email.com,76
Sacken,Elsie,Elsie.Sacken@email.com,63
Jary,Feliza,Feliza.Jary@email.com,73
Lutero,Dawn,Dawn.Lutero@email.com,56
Olin,Rivalee,Rivalee.Olin@email.com,57
Constancy,Margarette,Margarette.Constancy@email.com,88
Wolfgram,Correy,Correy.Wolfgram@email.com,67
Destinee,Margette,Margette.Destinee@email.com,60
Vivle,Jorry,Jorry.Vivle@email.com,59
Emmaline,Jacenta,Jacenta.Emmaline@email.com,87
Pearse,Lynnea,Lynnea.Pearse@email.com,87
Carey,Stacey,Stacey.Carey@email.com,92
Anestassia,Letizia,Letizia.Anestassia@email.com,83
Sprage,Laure,Laure.Sprage@email.com,64
Milson,Hope,Hope.Milson@email.com,51
Seumas,Modestia,Modestia.Seumas@email.com,61
Tyson,Joceline,Joceline.Tyson@email.com,60
Emmaline,Silvana,Silvana.Emmaline@email.com,56
Gualtiero,Ilse,Ilse.Gualtiero@email.com,99
Arathorn,Gusella,Gusella.Arathorn@email.com,75
Bartlett,Sabina,Sabina.Bartlett@email.com,100
Malina,Karolina,Karolina.Malina@email.com,54
Tremayne,Korrie,Korrie.Tremayne@email.com,77
Wolfgram,Maud,Maud.Wolfgram@email.com,87
Harriman,Alisha,Alisha.Harriman@email.com,64
Roarke,Randa,Randa.Roarke@email.com,65
Alabaster,Cacilie,Cacilie.Alabaster@email.com,59
Rosalba,Meghann,Meghann.Rosalba@email.com,69
Jarib,Mary,Mary.Jarib@email.com,83
Solitta,Michaelina,Michaelina.Solitta@email.com,61
Timon,Leontine,Leontine.Timon@email.com,88
Calhoun,Mureil,Mureil.Calhoun@email.com,86
Swanhildas,Ileana,Ileana.Swanhildas@email.com,63
Guthrie,Mellicent,Mellicent.Guthrie@email.com,61
Durante,Ezmeralda,Ezmeralda.Durante@email.com,100
Gherardo,Tera,Tera.Gherardo@email.com,51
O'Carroll,Bobinette,Bobinette.O'Carroll@email.com,73
Rocray,Henriette,Henriette.Rocray@email.com,67
Bohlin,Celene,Celene.Bohlin@email.com,69
Engdahl,Kara-Lynn,Kara-Lynn.Engdahl@email.com,64
Kristi,Britte,Britte.Kristi@email.com,74
Keelia,Fanchon,Fanchon.Keelia@email.com,57
Tarrant,Alisha,Alisha.Tarrant@email.com,88
Tayib,Elvira,Elvira.Tayib@email.com,55
Elo,Darci,Darci.Elo@email.com,72
Linehan,Merrie,Merrie.Linehan@email.com,61
Ludewig,Sabina,Sabina.Ludewig@email.com,66
Ulphia,Genovera,Genovera.Ulphia@email.com,83
Lunsford,Heida,Heida.Lunsford@email.com,90
Henrie,Elora,Elora.Henrie@email.com,69
Vacuva,Ethel,Ethel.Vacuva@email.com,56
Gaynor,Kirstin,Kirstin.Gaynor@email.com,62
Frendel,Lorne,Lorne.Frendel@email.com,85
Terencio,Charmaine,Charmaine.Terencio@email.com,91
Matthew,Gale,Gale.Matthew@email.com,92
Cimbura,Brandise,Brandise.Cimbura@email.com,52
Torray,Sara-Ann,Sara-Ann.Torray@email.com,78
Chapland,Allyce,Allyce.Chapland@email.com,58
Autrey,Bertine,Bertine.Autrey@email.com,63
Dichy,Elsie,Elsie.Dichy@email.com,90
Whiffen,Stevana,Stevana.Whiffen@email.com,86
Bach,Raina,Raina.Bach@email.com,98
Ludewig,Mildrid,Mildrid.Ludewig@email.com,100
Pandolfi,Chloris,Chloris.Pandolfi@email.com,93
Goddard,Flory,Flory.Goddard@email.com,87
Edvard,Ezmeralda,Ezmeralda.Edvard@email.com,51
Pulsifer,Ulrike,Ulrike.Pulsifer@email.com,63
Suzetta,Ebonee,Ebonee.Suzetta@email.com,76
Cleavland,Ayn,Ayn.Cleavland@email.com,88
Anselmi,Ira,Ira.Anselmi@email.com,92
Lunsford,Deloria,Deloria.Lunsford@email.com,98
Uund,Almeta,Almeta.Uund@email.com,69
Raffo,Konstance,Konstance.Raffo@email.com,69
Grobe,Anestassia,Anestassia.Grobe@email.com,65
Palocz,Sallie,Sallie.Palocz@email.com,79
Slifka,Heddie,Heddie.Slifka@email.com,77
Trace,Gui,Gui.Trace@email.com,90
Morehouse,Winny,Winny.Morehouse@email.com,65
Payson,Sybille,Sybille.Payson@email.com,70
Naashom,Christal,Christal.Naashom@email.com,76
Bonucci,Siana,Siana.Bonucci@email.com,77
Bashemeth,Ardenia,Ardenia.Bashemeth@email.com,80
Lacombe,Yolane,Yolane.Lacombe@email.com,72
Ivens,Rebeca,Rebeca.Ivens@email.com,91
Doig,Mahalia,Mahalia.Doig@email.com,55
Carvey,Talya,Talya.Carvey@email.com,78
Lilybelle,Beth,Beth.Lilybelle@email.com,58
Mike,Chere,Chere.Mike@email.com,94
Carleen,Rubie,Rubie.Carleen@email.com,100
Leifeste,Ketti,Ketti.Leifeste@email.com,68
Croix,Barbara,Barbara.Croix@email.com,84
Daveta,Laurene,Laurene.Daveta@email.com,52
Urania,Dulcinea,Dulcinea.Urania@email.com,57
Wildermuth,Jaclyn,Jaclyn.Wildermuth@email.com,57
Infield,Nessie,Nessie.Infield@email.com,70
Katrine,Elyssa,Elyssa.Katrine@email.com,86
Barbey,Sandie,Sandie.Barbey@email.com,87
Vernier,Micheline,Micheline.Vernier@email.com,58
Maples,Camile,Camile.Maples@email.com,54
Bahr,Lorie,Lorie.Bahr@email.com,84
Si,Nollie,Nollie.Si@email.com,95
Ardra,Gabriellia,Gabriellia.Ardra@email.com,64
Daveta,Ebonee,Ebonee.Daveta@email.com,72
Montgomery,Rhoda,Rhoda.Montgomery@email.com,51
Shelba,Ursulina,Ursulina.Shelba@email.com,77
Horan,Myriam,Myriam.Horan@email.com,52
Pozzy,Gratia,Gratia.Pozzy@email.com,55
Ochs,Dorothy,Dorothy.Ochs@email.com,78
Desai,Dari,Dari.Desai@email.com,51
